username,tweet_date,text,hashtags
kalltrip,2021-05-05 11:33:28,"@bombay_poetess @darrencaldeira @srinivasiyc @ReallySwara @fayedsouza @sayanigupta @kunalkamra88 @free_thinker @HomegrownIn @thevirdas @CMOMaharashtra Oxymax 5 litres  Order Link ; we can supply the required quantity of OxyCon on/after 11May; need to preorder. See our FAQ about us and Preorder below
https://t.co/yE9M0ES7kv or place a request on
https://t.co/Dxstb7aWFO 2 day Air Express Shipping #Verified ,#OxygenConcentrator","[{'text': 'Verified', 'indices': [398, 407]}, {'text': 'OxygenConcentrator', 'indices': [409, 428]}]"
VineetT15164553,2021-05-05 07:11:29,"#COVID #verified  #Jabalpur #Oxygen
Contact: 9827007176
Service Available: Oxygen
City: Jabalpur
Oxygen beds available in Bombay Hospital, Gol bazaar 482002. Oxygen level should be above 85.
Verified on:  5 May 10:41 am

RT for reach","[{'text': 'COVID', 'indices': [21, 27]}, {'text': 'verified', 'indices': [28, 37]}, {'text': 'Jabalpur', 'indices': [39, 48]}, {'text': 'Oxygen', 'indices': [49, 56]}]"
shrenik0911,2021-05-05 07:01:34,"#COVID #verified  #Jabalpur #Oxygen
Contact: 9827007176
Service Available: Oxygen
City: Jabalpur
Oxygen beds available in Bombay Hospital, Gol bazaar 482002. Oxygen level should be above 85.
Verified on:  5 May 10:41 am

RT for reach","[{'text': 'COVID', 'indices': [21, 27]}, {'text': 'verified', 'indices': [28, 37]}, {'text': 'Jabalpur', 'indices': [39, 48]}, {'text': 'Oxygen', 'indices': [49, 56]}]"
im_rahulkaushal,2021-05-05 05:29:00,"#COVID #verified  #Jabalpur #Oxygen
Contact: 9827007176
Service Available: Oxygen
City: Jabalpur
Oxygen beds available in Bombay Hospital, Gol bazaar 482002. Oxygen level should be above 85.
Verified on:  5 May 10:41 am

RT for reach","[{'text': 'COVID', 'indices': [21, 27]}, {'text': 'verified', 'indices': [28, 37]}, {'text': 'Jabalpur', 'indices': [39, 48]}, {'text': 'Oxygen', 'indices': [49, 56]}]"
Nick18176538,2021-05-05 05:11:36,"#COVID #verified  #Jabalpur #Oxygen
Contact: 9827007176
Service Available: Oxygen
City: Jabalpur
Oxygen beds available in Bombay Hospital, Gol bazaar 482002. Oxygen level should be above 85.
Verified on:  5 May 10:41 am

RT for reach","[{'text': 'COVID', 'indices': [21, 27]}, {'text': 'verified', 'indices': [28, 37]}, {'text': 'Jabalpur', 'indices': [39, 48]}, {'text': 'Oxygen', 'indices': [49, 56]}]"
CVDResourcesBot,2021-05-05 05:11:24,"#COVID #verified  #Jabalpur #Oxygen
Contact: 9827007176
Service Available: Oxygen
City: Jabalpur
Oxygen beds available in Bombay Hospital, Gol bazaar 482002. Oxygen level should be above 85.
Verified on:  5 May 10:41 am

RT for reach","[{'text': 'COVID', 'indices': [21, 27]}, {'text': 'verified', 'indices': [28, 37]}, {'text': 'Jabalpur', 'indices': [39, 48]}, {'text': 'Oxygen', 'indices': [49, 56]}]"
uniformappdotin,2021-05-05 05:11:18,"#COVID #verified  #Jabalpur #Oxygen
Contact: 9827007176
Service Available: Oxygen
City: Jabalpur
Oxygen beds available in Bombay Hospital, Gol bazaar 482002. Oxygen level should be above 85.
Verified on:  5 May 10:41 am

RT for reach","[{'text': 'COVID', 'indices': [0, 6]}, {'text': 'verified', 'indices': [7, 16]}, {'text': 'Jabalpur', 'indices': [18, 27]}, {'text': 'Oxygen', 'indices': [28, 35]}]"
RetweetsMumbai,2021-05-04 17:34:08,"✅ Verified
#Mumbai(Bombay) #HospitalBeds
Rohini Hospital, Thane West | Oxygen Beds and Ventilators Available in Thane  Maharashtra
Availability: 6 Oxygen Beds2 ICU2 Ventilators1 Normal BedContact: 9769842024Veri...
👉 https://t.co/dBdHD3SQuL","[{'text': 'Mumbai', 'indices': [25, 32]}, {'text': 'HospitalBeds', 'indices': [41, 54]}]"
shrenik0911,2021-05-04 17:33:59,"✅ Verified
#Mumbai(Bombay) #HospitalBeds
Rohini Hospital, Thane West | Oxygen Beds and Ventilators Available in Thane  Maharashtra
Availability: 6 Oxygen Beds2 ICU2 Ventilators1 Normal BedContact: 9769842024Veri...
👉 https://t.co/dBdHD3SQuL","[{'text': 'Mumbai', 'indices': [25, 32]}, {'text': 'HospitalBeds', 'indices': [41, 54]}]"
CVDResourcesBot,2021-05-04 17:29:09,"✅ Verified
#Mumbai(Bombay) #HospitalBeds
Rohini Hospital, Thane West | Oxygen Beds and Ventilators Available in Thane  Maharashtra
Availability: 6 Oxygen Beds2 ICU2 Ventilators1 Normal BedContact: 9769842024Veri...
👉 https://t.co/dBdHD3SQuL","[{'text': 'Mumbai', 'indices': [25, 32]}, {'text': 'HospitalBeds', 'indices': [41, 54]}]"
